Date,Species,Strata,Sex,BroodAge,Length_mm
6/30/1995,chinook salmon,NA,Male,NA,545
7/3/1995,chinook salmon,NA,Male,NA,650
7/4/1995,chinook salmon,NA,Male,NA,580
7/4/1995,chinook salmon,NA,Male,NA,520
7/4/1995,chinook salmon,NA,Male,NA,575
7/4/1995,chinook salmon,NA,Male,NA,520
7/4/1995,chinook salmon,NA,Male,NA,590
7/5/1995,chinook salmon,NA,Male,NA,570
7/5/1995,chinook salmon,NA,Male,NA,530
7/5/1995,chinook salmon,NA,Male,NA,540
7/6/1995,chinook salmon,NA,Male,NA,530
7/6/1995,chinook salmon,NA,Male,NA,545
7/10/1995,chinook salmon,NA,Male,NA,550
7/10/1995,chinook salmon,NA,Male,NA,495
7/10/1995,chinook salmon,NA,Male,NA,550
7/10/1995,chinook salmon,NA,Male,NA,640
7/10/1995,chinook salmon,NA,Male,NA,550
7/10/1995,chinook salmon,NA,Male,NA,575
7/10/1995,chinook salmon,NA,Male,NA,560
7/10/1995,chinook salmon,NA,Male,NA,690
7/10/1995,chinook salmon,NA,Male,NA,550
7/11/1995,chinook salmon,NA,Male,NA,615
7/11/1995,chinook salmon,NA,Male,NA,540
7/11/1995,chinook salmon,NA,Male,NA,585
7/11/1995,chinook salmon,NA,Male,NA,555
7/11/1995,chinook salmon,NA,Male,NA,610
7/11/1995,chinook salmon,NA,Male,NA,595
7/15/1995,chinook salmon,NA,Male,NA,570
7/16/1995,chinook salmon,NA,Male,NA,560
7/16/1995,chinook salmon,NA,Male,NA,565
7/16/1995,chinook salmon,NA,Male,NA,545
7/16/1995,chinook salmon,NA,Male,NA,575
7/16/1995,chinook salmon,NA,Male,NA,485
7/16/1995,chinook salmon,NA,Male,NA,465
7/17/1995,chinook salmon,NA,Male,NA,515
7/17/1995,chinook salmon,NA,Male,NA,745
7/18/1995,chinook salmon,NA,Male,NA,625
7/18/1995,chinook salmon,NA,Male,NA,535
7/18/1995,chinook salmon,NA,Male,NA,480
7/18/1995,chinook salmon,NA,Male,NA,575
7/18/1995,chinook salmon,NA,Male,NA,715
7/22/1995,chinook salmon,NA,Male,NA,585
7/22/1995,chinook salmon,NA,Male,NA,500
7/23/1995,chinook salmon,NA,Male,NA,545
7/23/1995,chinook salmon,NA,Male,NA,530
7/23/1995,chinook salmon,NA,Male,NA,530
7/23/1995,chinook salmon,NA,Male,NA,610
7/23/1995,chinook salmon,NA,Male,NA,520
7/24/1995,chinook salmon,NA,Male,NA,510
7/24/1995,chinook salmon,NA,Male,NA,650
7/24/1995,chinook salmon,NA,Male,NA,645
7/24/1995,chinook salmon,NA,Male,NA,640
7/25/1995,chinook salmon,NA,Male,NA,695
8/1/1995,chinook salmon,NA,Male,NA,630
7/11/1995,chinook salmon,NA,Male,NA,570
6/29/1995,chinook salmon,NA,Male,NA,730
6/29/1995,chinook salmon,NA,Male,NA,775
6/29/1995,chinook salmon,NA,Male,NA,670
6/30/1995,chinook salmon,NA,Male,NA,775
6/30/1995,chinook salmon,NA,Male,NA,755
7/3/1995,chinook salmon,NA,Male,NA,765
7/3/1995,chinook salmon,NA,Male,NA,760
7/3/1995,chinook salmon,NA,Male,NA,790
7/3/1995,chinook salmon,NA,Male,NA,715
7/3/1995,chinook salmon,NA,Male,NA,775
7/3/1995,chinook salmon,NA,Male,NA,875
7/3/1995,chinook salmon,NA,Male,NA,805
7/3/1995,chinook salmon,NA,Male,NA,720
7/3/1995,chinook salmon,NA,Male,NA,725
7/4/1995,chinook salmon,NA,Male,NA,890
7/4/1995,chinook salmon,NA,Male,NA,725
7/4/1995,chinook salmon,NA,Male,NA,760
7/4/1995,chinook salmon,NA,Male,NA,820
7/4/1995,chinook salmon,NA,Male,NA,725
7/4/1995,chinook salmon,NA,Male,NA,735
7/4/1995,chinook salmon,NA,Male,NA,720
7/4/1995,chinook salmon,NA,Male,NA,765
7/4/1995,chinook salmon,NA,Male,NA,725
7/4/1995,chinook salmon,NA,Male,NA,840
7/4/1995,chinook salmon,NA,Male,NA,675
7/4/1995,chinook salmon,NA,Male,NA,775
7/5/1995,chinook salmon,NA,Male,NA,730
7/5/1995,chinook salmon,NA,Male,NA,910
7/5/1995,chinook salmon,NA,Male,NA,675
7/5/1995,chinook salmon,NA,Male,NA,770
7/6/1995,chinook salmon,NA,Male,NA,765
7/6/1995,chinook salmon,NA,Male,NA,870
7/10/1995,chinook salmon,NA,Male,NA,870
7/10/1995,chinook salmon,NA,Male,NA,775
7/10/1995,chinook salmon,NA,Male,NA,665
7/10/1995,chinook salmon,NA,Male,NA,685
7/10/1995,chinook salmon,NA,Male,NA,790
7/10/1995,chinook salmon,NA,Male,NA,695
7/10/1995,chinook salmon,NA,Male,NA,775
7/11/1995,chinook salmon,NA,Male,NA,815
7/11/1995,chinook salmon,NA,Male,NA,700
7/11/1995,chinook salmon,NA,Male,NA,755
7/11/1995,chinook salmon,NA,Male,NA,730
7/11/1995,chinook salmon,NA,Male,NA,670
7/11/1995,chinook salmon,NA,Male,NA,660
7/11/1995,chinook salmon,NA,Male,NA,855
7/11/1995,chinook salmon,NA,Male,NA,730
7/15/1995,chinook salmon,NA,Male,NA,690
7/15/1995,chinook salmon,NA,Male,NA,530
7/16/1995,chinook salmon,NA,Male,NA,740
7/16/1995,chinook salmon,NA,Male,NA,750
7/16/1995,chinook salmon,NA,Male,NA,745
7/17/1995,chinook salmon,NA,Male,NA,655
7/17/1995,chinook salmon,NA,Male,NA,860
7/17/1995,chinook salmon,NA,Male,NA,665
7/17/1995,chinook salmon,NA,Male,NA,715
7/18/1995,chinook salmon,NA,Male,NA,715
7/18/1995,chinook salmon,NA,Male,NA,755
7/18/1995,chinook salmon,NA,Male,NA,545
7/18/1995,chinook salmon,NA,Male,NA,660
7/18/1995,chinook salmon,NA,Male,NA,825
7/18/1995,chinook salmon,NA,Male,NA,655
7/23/1995,chinook salmon,NA,Male,NA,645
7/23/1995,chinook salmon,NA,Male,NA,860
7/23/1995,chinook salmon,NA,Male,NA,680
7/23/1995,chinook salmon,NA,Male,NA,705
7/24/1995,chinook salmon,NA,Male,NA,765
7/24/1995,chinook salmon,NA,Male,NA,795
7/24/1995,chinook salmon,NA,Male,NA,775
7/25/1995,chinook salmon,NA,Male,NA,560
7/3/1995,chinook salmon,NA,Male,NA,720
7/4/1995,chinook salmon,NA,Male,NA,750
7/5/1995,chinook salmon,NA,Male,NA,765
7/6/1995,chinook salmon,NA,Male,NA,805
7/10/1995,chinook salmon,NA,Male,NA,795
7/10/1995,chinook salmon,NA,Male,NA,690
7/10/1995,chinook salmon,NA,Male,NA,680
7/10/1995,chinook salmon,NA,Male,NA,910
7/10/1995,chinook salmon,NA,Male,NA,755
7/10/1995,chinook salmon,NA,Male,NA,810
7/10/1995,chinook salmon,NA,Male,NA,850
7/10/1995,chinook salmon,NA,Male,NA,840
7/10/1995,chinook salmon,NA,Male,NA,780
7/10/1995,chinook salmon,NA,Male,NA,580
7/11/1995,chinook salmon,NA,Male,NA,815
7/11/1995,chinook salmon,NA,Male,NA,835
7/11/1995,chinook salmon,NA,Male,NA,720
7/11/1995,chinook salmon,NA,Male,NA,765
7/11/1995,chinook salmon,NA,Male,NA,800
7/11/1995,chinook salmon,NA,Male,NA,780
7/11/1995,chinook salmon,NA,Male,NA,905
7/15/1995,chinook salmon,NA,Male,NA,805
7/15/1995,chinook salmon,NA,Male,NA,850
7/15/1995,chinook salmon,NA,Male,NA,700
7/16/1995,chinook salmon,NA,Male,NA,840
7/16/1995,chinook salmon,NA,Male,NA,970
7/16/1995,chinook salmon,NA,Male,NA,830
7/17/1995,chinook salmon,NA,Male,NA,810
7/17/1995,chinook salmon,NA,Male,NA,920
7/17/1995,chinook salmon,NA,Male,NA,855
7/18/1995,chinook salmon,NA,Male,NA,850
7/18/1995,chinook salmon,NA,Male,NA,805
7/18/1995,chinook salmon,NA,Male,NA,810
7/18/1995,chinook salmon,NA,Male,NA,790
7/18/1995,chinook salmon,NA,Male,NA,775
7/18/1995,chinook salmon,NA,Male,NA,800
7/18/1995,chinook salmon,NA,Male,NA,830
7/18/1995,chinook salmon,NA,Male,NA,760
7/18/1995,chinook salmon,NA,Male,NA,855
7/18/1995,chinook salmon,NA,Male,NA,780
7/18/1995,chinook salmon,NA,Male,NA,815
7/18/1995,chinook salmon,NA,Male,NA,815
7/22/1995,chinook salmon,NA,Male,NA,755
7/23/1995,chinook salmon,NA,Male,NA,800
7/23/1995,chinook salmon,NA,Male,NA,860
7/23/1995,chinook salmon,NA,Male,NA,895
7/23/1995,chinook salmon,NA,Male,NA,710
7/23/1995,chinook salmon,NA,Male,NA,740
7/23/1995,chinook salmon,NA,Male,NA,830
7/23/1995,chinook salmon,NA,Male,NA,765
7/23/1995,chinook salmon,NA,Male,NA,840
7/24/1995,chinook salmon,NA,Male,NA,875
7/24/1995,chinook salmon,NA,Male,NA,765
7/24/1995,chinook salmon,NA,Male,NA,845
7/24/1995,chinook salmon,NA,Male,NA,870
7/24/1995,chinook salmon,NA,Male,NA,880
7/24/1995,chinook salmon,NA,Male,NA,845
7/25/1995,chinook salmon,NA,Male,NA,715
7/25/1995,chinook salmon,NA,Male,NA,835
7/25/1995,chinook salmon,NA,Male,NA,1050
7/25/1995,chinook salmon,NA,Male,NA,785
7/25/1995,chinook salmon,NA,Male,NA,750
7/10/1995,chinook salmon,NA,Male,NA,810
6/29/1995,chinook salmon,NA,Male,NA,760
7/3/1995,chinook salmon,NA,Male,NA,515
7/3/1995,chinook salmon,NA,Male,NA,740
7/4/1995,chinook salmon,NA,Male,NA,755
7/4/1995,chinook salmon,NA,Male,NA,720
7/5/1995,chinook salmon,NA,Male,NA,740
7/6/1995,chinook salmon,NA,Male,NA,770
7/6/1995,chinook salmon,NA,Male,NA,710
7/6/1995,chinook salmon,NA,Male,NA,675
7/10/1995,chinook salmon,NA,Male,NA,745
7/10/1995,chinook salmon,NA,Male,NA,765
7/10/1995,chinook salmon,NA,Male,NA,670
7/10/1995,chinook salmon,NA,Male,NA,840
7/10/1995,chinook salmon,NA,Male,NA,730
7/11/1995,chinook salmon,NA,Male,NA,745
7/11/1995,chinook salmon,NA,Male,NA,765
7/11/1995,chinook salmon,NA,Male,NA,560
7/11/1995,chinook salmon,NA,Male,NA,510
7/11/1995,chinook salmon,NA,Male,NA,675
7/11/1995,chinook salmon,NA,Male,NA,675
7/11/1995,chinook salmon,NA,Male,NA,800
7/11/1995,chinook salmon,NA,Male,NA,550
7/11/1995,chinook salmon,NA,Male,NA,830
7/11/1995,chinook salmon,NA,Male,NA,760
7/16/1995,chinook salmon,NA,Male,NA,960
7/17/1995,chinook salmon,NA,Male,NA,765
7/17/1995,chinook salmon,NA,Male,NA,745
7/17/1995,chinook salmon,NA,Male,NA,915
7/18/1995,chinook salmon,NA,Male,NA,655
7/18/1995,chinook salmon,NA,Male,NA,525
7/18/1995,chinook salmon,NA,Male,NA,810
7/18/1995,chinook salmon,NA,Male,NA,830
7/18/1995,chinook salmon,NA,Male,NA,700
7/22/1995,chinook salmon,NA,Male,NA,810
7/23/1995,chinook salmon,NA,Male,NA,660
7/23/1995,chinook salmon,NA,Male,NA,865
7/23/1995,chinook salmon,NA,Male,NA,560
7/23/1995,chinook salmon,NA,Male,NA,795
7/3/1995,chinook salmon,NA,Female,NA,870
7/3/1995,chinook salmon,NA,Female,NA,830
7/4/1995,chinook salmon,NA,Female,NA,835
7/4/1995,chinook salmon,NA,Female,NA,890
7/4/1995,chinook salmon,NA,Female,NA,850
7/4/1995,chinook salmon,NA,Female,NA,825
7/4/1995,chinook salmon,NA,Female,NA,845
7/6/1995,chinook salmon,NA,Female,NA,845
7/10/1995,chinook salmon,NA,Female,NA,835
7/10/1995,chinook salmon,NA,Female,NA,870
