"","Date","Species","Strata","Sex","BroodAge","Length_mm"
"1",1995-06-30,"chinook salmon",NA,"Male",NA,545
"2",1995-07-03,"chinook salmon",NA,"Male",NA,650
"3",1995-07-04,"chinook salmon",NA,"Male",NA,580
"4",1995-07-04,"chinook salmon",NA,"Male",NA,520
"5",1995-07-04,"chinook salmon",NA,"Male",NA,575
"6",1995-07-04,"chinook salmon",NA,"Male",NA,520
"7",1995-07-04,"chinook salmon",NA,"Male",NA,590
"8",1995-07-05,"chinook salmon",NA,"Male",NA,570
"9",1995-07-05,"chinook salmon",NA,"Male",NA,530
"10",1995-07-05,"chinook salmon",NA,"Male",NA,540
"11",1995-07-06,"chinook salmon",NA,"Male",NA,530
"12",1995-07-06,"chinook salmon",NA,"Male",NA,545
"13",1995-07-10,"chinook salmon",NA,"Male",NA,550
"14",1995-07-10,"chinook salmon",NA,"Male",NA,495
"15",1995-07-10,"chinook salmon",NA,"Male",NA,550
"16",1995-07-10,"chinook salmon",NA,"Male",NA,640
"17",1995-07-10,"chinook salmon",NA,"Male",NA,550
"18",1995-07-10,"chinook salmon",NA,"Male",NA,575
"19",1995-07-10,"chinook salmon",NA,"Male",NA,560
"20",1995-07-10,"chinook salmon",NA,"Male",NA,690
"21",1995-07-10,"chinook salmon",NA,"Male",NA,550
"22",1995-07-11,"chinook salmon",NA,"Male",NA,615
"23",1995-07-11,"chinook salmon",NA,"Male",NA,540
"24",1995-07-11,"chinook salmon",NA,"Male",NA,585
"25",1995-07-11,"chinook salmon",NA,"Male",NA,555
"26",1995-07-11,"chinook salmon",NA,"Male",NA,610
"27",1995-07-11,"chinook salmon",NA,"Male",NA,595
"28",1995-07-15,"chinook salmon",NA,"Male",NA,570
"29",1995-07-16,"chinook salmon",NA,"Male",NA,560
"30",1995-07-16,"chinook salmon",NA,"Male",NA,565
"31",1995-07-16,"chinook salmon",NA,"Male",NA,545
"32",1995-07-16,"chinook salmon",NA,"Male",NA,575
"33",1995-07-16,"chinook salmon",NA,"Male",NA,485
